Lượt xem trang,Đơn hàng mới,Xử lý đơn hàng,Lượt đăng ký mới,Doanh thu,Thời gian,
0,0,0,0,0,2018-05-24,
0,0,0,0,0,2018-05-25,
0,0,0,0,0,2018-05-26,
0,0,0,0,0,2018-05-27,
0,0,0,0,0,2018-05-28,
0,0,0,0,0,2018-05-29,
0,0,0,0,0,2018-05-30,
0,0,0,0,0,2018-05-31,
0,0,0,0,0,2018-06-01,
0,0,0,0,0,2018-06-02,
0,0,0,0,0,2018-06-03,
0,0,0,0,0,2018-06-04,
0,0,0,0,0,2018-06-05,
0,0,0,0,0,2018-06-06,
0,0,0,0,0,2018-06-07,
0,0,0,0,0,2018-06-08,
0,0,0,0,0,2018-06-09,
0,0,0,0,0,2018-06-10,
0,0,0,0,0,2018-06-11,
0,0,0,0,0,2018-06-12,
0,0,0,0,0,2018-06-13,
0,0,0,0,0,2018-06-14,
0,0,0,0,0,2018-06-15,
0,0,0,0,244,2018-06-16,
36,0,0,0,732,2018-06-17,
194,0,0,0,0,2018-06-18,
115,4,7,0,27000000,2018-06-19,
6,0,0,0,0,2018-06-20,
20,0,0,0,0,2018-06-21,
65,0,0,0,0,2018-06-22,
